"wingId","batch","week","is_missing"
1,"1",20,FALSE
1,"1",21,FALSE
1,"1",22,FALSE
1,"1",23,FALSE
1,"1",24,TRUE
1,"1",25,FALSE
1,"1",26,FALSE
1,"1",27,FALSE
1,"1",28,FALSE
1,"1",29,FALSE
1,"1",30,FALSE
1,"1",31,FALSE
1,"1",32,TRUE
1,"1",33,FALSE
1,"1",34,FALSE
1,"1",35,FALSE
1,"1",36,FALSE
1,"1",37,FALSE
1,"1",38,FALSE
1,"1",39,FALSE
1,"1",40,FALSE
1,"1",41,FALSE
1,"1",42,TRUE
1,"1",43,TRUE
2,"1",20,FALSE
2,"1",21,FALSE
2,"1",22,FALSE
2,"1",23,TRUE
2,"1",24,FALSE
2,"1",25,FALSE
2,"1",26,FALSE
2,"1",27,FALSE
2,"1",28,FALSE
2,"1",29,FALSE
2,"1",30,FALSE
2,"1",31,TRUE
2,"1",32,TRUE
2,"1",33,TRUE
2,"1",34,FALSE
2,"1",35,FALSE
2,"1",36,FALSE
2,"1",37,FALSE
2,"1",38,FALSE
2,"1",39,TRUE
2,"1",40,TRUE
2,"1",41,FALSE
2,"1",42,FALSE
2,"1",43,FALSE
3,"1",20,FALSE
3,"1",21,TRUE
3,"1",22,FALSE
3,"1",23,TRUE
3,"1",24,FALSE
3,"1",25,FALSE
3,"1",26,TRUE
3,"1",27,FALSE
3,"1",28,TRUE
3,"1",29,TRUE
3,"1",30,FALSE
3,"1",31,FALSE
3,"1",32,FALSE
3,"1",33,TRUE
3,"1",34,FALSE
3,"1",35,FALSE
3,"1",36,FALSE
3,"1",37,FALSE
3,"1",38,TRUE
3,"1",39,FALSE
3,"1",40,FALSE
3,"1",41,FALSE
3,"1",42,FALSE
3,"1",43,FALSE
4,"1",20,FALSE
4,"1",21,FALSE
4,"1",22,TRUE
4,"1",23,FALSE
4,"1",24,FALSE
4,"1",25,FALSE
4,"1",26,FALSE
4,"1",27,FALSE
4,"1",28,FALSE
4,"1",29,FALSE
4,"1",30,TRUE
4,"1",31,FALSE
4,"1",32,FALSE
4,"1",33,FALSE
